지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22106,2016-01-01 00:00,9.6,285,9.8,1030.8,64,6.5,13.9,2.2,1.3,.9,4,195
22106,2016-01-01 01:00,10.6,281,11.1,1030.8,63,6.1,13.8,1.9,1.3,.9,4,214
22106,2016-01-01 02:00,8.4,272,9.7,1030.2,65,5.9,13.9,2.1,1.3,.9,4.6,256
22106,2016-01-01 03:00,9.5,270,10.1,1030.2,54,6,13.9,1.7,1.1,.8,4,222
22106,2016-01-01 04:00,9.1,265,10.6,1030.3,58,6,13.9,1.9,1.2,.8,3.6,198
22106,2016-01-01 05:00,14.8,278,15.4,1029.4,40,6.7,13.9,1.8,1.2,.9,3.6,182
22106,2016-01-01 06:00,10.3,278,13,1029.4,53,5.5,13.9,2,1.3,.9,3.6,180
22106,2016-01-01 07:00,10.2,278,11,1029.4,55,5,13.9,1.9,1.2,.8,3.8,180
22106,2016-01-01 08:00,11.4,279,12.8,1030.4,56,4.9,13.8,1.9,1.2,.9,3.6,192
22106,2016-01-01 09:00,8.7,291,9.6,1030.8,58,5.3,13.8,2,1.3,.9,3.8,163
22106,2016-01-01 10:00,10,284,11.5,1030.4,58,5.3,13.8,2,1.3,.9,4,189
22106,2016-01-01 11:00,8.2,286,10.9,1030.9,54,5.6,13.8,1.8,1.2,.9,4,194
22106,2016-01-01 12:00,9.8,278,10.8,1030.4,48,6.1,13.8,1.9,1,.7,3.6,213
22106,2016-01-01 13:00,5.5,266,6.7,1029.2,52,7,13.8,1.4,.9,.6,5.8,343
22106,2016-01-01 14:00,6.3,244,8.4,1028,43,8.1,13.8,1.6,.9,.6,3.4,209
22106,2016-01-01 15:00,6,245,6.7,1027.1,38,8.6,13.8,1.5,.9,.6,3.8,216
22106,2016-01-01 16:00,4.6,253,5.5,1026.9,36,9.2,13.7,1.4,.8,.6,3.4,168
22106,2016-01-01 17:00,7,266,8,1026.7,39,9.4,13.6,1.2,.9,.6,3.2,189
22106,2016-01-01 18:00,6.3,280,6.6,1026.6,43,9.3,13.8,1.7,.9,.6,3.4,197
22106,2016-01-01 19:00,6.6,271,8.3,1026.5,50,8.9,13.8,1.4,.8,.6,3.4,173
22106,2016-01-01 20:00,11.3,287,12.1,1026.5,51,8.7,13.7,1.5,.9,.6,3.4,157
22106,2016-01-01 21:00,12.3,288,12.8,1026.6,54,8,13.7,1.5,1.1,.8,3.8,176
22106,2016-01-01 22:00,12.5,289,14.5,1026.1,58,7.5,13.7,2,1.1,.8,4,154
22106,2016-01-01 23:00,8.9,288,12.4,1025.8,60,7.4,13.7,1.9,1.3,.9,4.3,162
22106,2016-01-02 00:00,11.5,286,12.4,1025.5,59,7.4,13.7,2.3,1.5,1,4.6,183
22106,2016-01-02 01:00,10.8,285,12.5,1025.2,64,7.6,13.7,1.9,1.4,1,4.3,182
22106,2016-01-02 02:00,9.8,291,12.9,1025.2,62,7.6,13.7,2.5,1.3,.9,4.3,161
22106,2016-01-02 03:00,13.2,276,16.1,1024.4,67,7.5,13.8,2,1.2,.9,3.8,164
22106,2016-01-02 04:00,13.7,277,16.7,1024.1,67,7.4,13.9,1.8,1.3,.9,4.3,175
22106,2016-01-02 05:00,4.9,273,6.1,1025.3,64,7.1,14,2.4,1.3,.9,4,182
22106,2016-01-02 06:00,15,287,17.2,1023.5,64,7.5,14,2,1.3,.9,4.3,190
22106,2016-01-02 07:00,11.7,275,13.9,1023.8,62,7.6,13.9,2.5,1.4,1,4.3,171
22106,2016-01-02 08:00,12.3,264,13.3,1023.8,64,8.1,13.8,2.8,1.4,1,4.6,206
22106,2016-01-02 09:00,10.2,263,12,1024.1,64,8.1,13.8,2.5,1.4,1,4.6,161
22106,2016-01-02 10:00,9.4,272,11.5,1024.2,66,8.3,13.8,2.9,1.6,1.1,4.9,156
22106,2016-01-02 11:00,11.5,272,14.2,1023.2,67,8.9,13.8,2.4,1.5,1,4.6,180
22106,2016-01-02 12:00,9.1,262,10.7,1023.2,63,9.3,13.8,2.6,1.5,1,4.9,159
22106,2016-01-02 13:00,10.3,262,10.8,1022.1,68,9.8,13.8,1.9,1.3,.9,4.9,146
22106,2016-01-02 14:00,6.3,253,8,1021.2,63,10.2,13.8,2,1.2,.9,4.3,197
22106,2016-01-02 15:00,5.6,267,6,1020.5,51,11.2,13.8,1.8,1.1,.8,4,175
