지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22106,2016-01-02 16:00,6.3,250,8.5,1020.2,50,12.3,13.8,1.4,1,.7,3.8,179
22106,2016-01-02 17:00,9,241,11.1,1019.4,49,12.6,13.8,2,1.1,.8,4,185
22106,2016-01-02 18:00,7.3,256,11.9,1019.6,44,13,13.8,1.6,1.1,.8,3.8,186
22106,2016-01-02 19:00,8.4,252,11.7,1020.2,46,12.7,13.8,1.4,1,.7,3.8,131
22106,2016-01-02 20:00,8.9,253,9.6,1020,55,12.5,13.8,1.2,.9,.6,4,123
22106,2016-01-02 21:00,6.3,260,8.5,1020.2,50,12.3,13.7,1.4,.8,.6,3.2,270
22106,2016-01-02 22:00,10.2,248,10.9,1020,53,11.8,13.7,1.6,.9,.6,3.6,143
22106,2016-01-02 23:00,6.8,237,7.8,1020,56,11.6,13.7,1.2,.8,.5,3.6,144
22106,2016-01-03 00:00,5.1,254,5.4,1019.8,56,11.7,13.6,.8,.6,.4,3.4,95
22106,2016-01-03 01:00,5.3,274,5.5,1019.3,57,11.6,13.6,1,.6,.4,3,124
22106,2016-01-03 02:00,6.6,259,7.7,1018.8,62,11.6,13.6,1,.6,.4,3,251
22106,2016-01-03 03:00,8.2,255,9.5,1018.4,67,11.6,13.6,1,.6,.4,3.2,248
22106,2016-01-03 04:00,8.3,263,10.5,1018.2,64,,13.6,1.1,.7,.5,3.2,225
22106,2016-01-03 05:00,6.9,286,8.3,1018.5,66,11.5,13.6,1.5,.9,.6,3.2,192
22106,2016-01-03 06:00,6.3,287,7.6,1018.4,66,11.6,13.6,1.3,.9,.6,3.6,150
22106,2016-01-03 07:00,6.5,295,7.3,1018.7,65,11.2,13.6,1.4,1,.7,3.8,189
22106,2016-01-03 08:00,3,296,3.8,1019.4,68,11,13.6,1.2,.8,.6,3.4,161
22106,2016-01-03 09:00,6.9,287,7.2,1019.6,68,11,13.6,1,.7,.5,3.4,198
22106,2016-01-03 10:00,6.7,305,7.6,1019.9,64,11,13.7,1,.7,.5,3.2,182
22106,2016-01-03 11:00,6.8,289,7.7,1019.5,66,11.1,13.7,1.1,.6,.4,3.4,154
22106,2016-01-03 12:00,4.3,278,5,1018.9,63,11.6,13.7,1.1,.6,.4,3.2,203
22106,2016-01-03 13:00,3.3,272,4,1017.9,61,12.3,13.9,1,.6,.4,3,240
22106,2016-01-03 14:00,3.6,232,3.9,1017.3,60,12.5,14.7,.7,.4,.3,3.4,260
22106,2016-01-03 15:00,2.6,220,2.8,1016.7,61,12.8,14.9,.6,.4,.3,4.3,345
22106,2016-01-03 16:00,2.5,213,2.7,1016.8,54,14,15.3,.7,.5,.3,4.3,343
22106,2016-01-03 17:00,2.2,194,3.2,1017.1,57,14,15.6,.6,.4,.3,4.3,356
22106,2016-01-03 18:00,3,186,4.2,1017,60,14.2,15.7,.7,.4,.3,4.9,344
22106,2016-01-03 19:00,4.2,202,5.3,1017.2,57,14.3,15.7,.6,.4,.3,4.6,1
22106,2016-01-03 20:00,2.2,226,3.1,1017.2,51,14.7,16.4,.9,.4,.3,4.6,350
22106,2016-01-03 21:00,2.7,271,3.4,1017.2,49,14.9,16.7,.7,.4,.3,4.3,351
22106,2016-01-03 22:00,5.1,289,5.5,1017.5,50,14.4,16.7,.7,.4,.3,5.8,6
22106,2016-01-03 23:00,3.6,295,4.5,1017.6,55,14.1,16.7,.6,.4,.3,4.3,173
22106,2016-01-04 00:00,4.6,257,4.9,1017.4,53,13.9,16.3,.6,.4,.3,4.9,351
22106,2016-01-04 01:00,5.6,274,6.3,1016.9,62,12.9,16.6,.9,.6,.4,2.4,180
22106,2016-01-04 02:00,8.5,293,10.4,1016.5,50,13,16.5,1.2,.7,.5,2.8,197
22106,2016-01-04 03:00,5.7,304,7.5,1017.2,55,11.7,16.5,1.3,.7,.5,3.8,261
22106,2016-01-04 04:00,9,293,9.4,1017.3,64,11.3,16.2,1.6,1.1,.8,3.8,113
22106,2016-01-04 05:00,8.4,286,10.4,1017.1,62,10.6,15.9,1.9,1.1,.8,3.8,229
22106,2016-01-04 06:00,8.2,300,9,1017.5,64,11.1,15.6,1.5,.9,.6,6.4,337
22106,2016-01-04 07:00,10.2,293,14.9,1017.4,60,11,15.6,1.7,1,.7,6.4,325
22106,2016-01-04 08:00,9.9,293,12.3,1018.3,61,10.9,15.9,1.5,1,.7,6.4,305
22106,2016-01-04 09:00,9.9,290,10.8,1019,58,10.7,15.7,1.4,1,.7,6.4,321
22106,2016-01-04 10:00,7.6,302,9.2,1020,58,10.5,15.5,1.7,1,.7,3.4,232
22106,2016-01-04 11:00,11,293,12.7,1019.9,60,10.2,15,1.4,.9,.6,4,281
22106,2016-01-04 12:00,9.4,279,10.7,1020,56,9.9,15,1.6,.9,.7,6.4,318
22106,2016-01-04 13:00,9.4,286,11.2,1019,55,10.4,15,1.8,1,.7,6.4,333
22106,2016-01-04 14:00,8.9,287,10.2,1018.7,45,10.8,15.5,1.5,1,.7,6.4,337
22106,2016-01-04 15:00,6.3,243,7.4,1019.2,46,10.8,15.7,1.2,.7,.5,6.4,342
22106,2016-01-04 16:00,5,278,6.4,1019,35,11.6,15.8,1.2,.7,.5,6.4,349
22106,2016-01-04 17:00,8.5,276,10.3,1019.1,38,12.1,16.2,1.4,.9,.6,7.1,348
22106,2016-01-04 18:00,8.1,280,11.2,1019.7,38,12.1,16.2,1.3,.9,.6,6.4,343
22106,2016-01-04 19:00,11.6,284,12.3,1019.7,34,11.6,16.2,1.5,.9,.7,5.8,347
22106,2016-01-04 20:00,8.5,295,11.1,1020.4,36,11,16.1,1.7,1.1,.7,6.4,354
22106,2016-01-04 21:00,8.9,290,12.3,1020.6,35,10.4,16.1,1.6,1.1,.8,5.8,337
22106,2016-01-04 22:00,9.3,280,10.7,1021.6,37,9.9,16.3,1.7,1.2,.8,5.8,342
22106,2016-01-04 23:00,10.3,280,10.6,1021.8,36,9.4,16.7,1.9,1.3,.9,6.4,327
22106,2016-01-05 00:00,10.3,284,11,1021.5,39,8.7,16.7,2,1.2,.9,6.4,338
22106,2016-01-05 01:00,10,287,12,1021,39,8.4,16.7,2.3,1.3,.9,6.4,333
22106,2016-01-05 02:00,9.7,283,12.4,1021.4,38,8.1,16.3,2.1,1.3,.9,6.4,332
22106,2016-01-05 03:00,11.1,283,12.4,1022,41,7.4,16.2,2.1,1.3,.9,6.4,324
22106,2016-01-05 04:00,12.2,285,12.4,1022,45,7.1,16.3,2.1,1.3,.9,7.1,318
22106,2016-01-05 05:00,11,286,11.6,1021.7,42,6,16.4,2.1,1.2,.9,6.4,316
22106,2016-01-05 06:00,11.4,290,11.8,1022.3,44,5.9,16.4,2.1,1.4,1,7.1,329
22106,2016-01-05 07:00,11.8,291,12.2,1022.2,47,6.3,16.3,2.1,1.4,1,7.1,341
22106,2016-01-05 08:00,9.4,290,11.2,1022.8,45,5.8,16.3,2.2,1.4,1,7.1,348
22106,2016-01-05 09:00,10.2,287,12.2,1023.2,52,6.2,16.3,2.8,1.5,1.1,7.1,344
22106,2016-01-05 10:00,9.7,291,11.7,1023.8,48,5.8,16.4,2.5,1.5,1.1,7.1,344
22106,2016-01-05 11:00,10.9,282,12,1023.9,43,5.8,16.3,2.4,1.5,1.1,7.1,355
22106,2016-01-05 12:00,12.1,282,13.2,1023.4,49,6.1,16.4,2.1,1.4,1,7.1,350
22106,2016-01-05 13:00,13.4,283,13.8,1022.6,43,6.5,16.3,1.9,1.4,1,6.4,344
22106,2016-01-05 14:00,11.1,286,11.4,1022.5,43,6.2,16.1,2.3,1.5,1,6.4,347
22106,2016-01-05 15:00,8.7,280,11.1,1022.4,37,6.5,15.9,2.2,1.4,1,6.4,353
22106,2016-01-05 16:00,9.7,299,10.8,1021.8,39,7.5,16,2.1,1.4,1,6.4,352
22106,2016-01-05 17:00,10.4,286,10.9,1022.5,43,7.3,16,1.9,1.3,.9,5.8,350
22106,2016-01-05 18:00,10.5,293,11,1022.6,33,7.2,16,2,1.3,.9,6.4,348
22106,2016-01-05 19:00,9.4,297,10.2,1023.2,40,7.6,16,1.9,1.3,.9,6.4,349
22106,2016-01-05 20:00,10.3,296,10.6,1023.5,40,7,16.1,2,1.2,.9,6.4,341
22106,2016-01-05 21:00,9.7,298,11.1,1023.5,41,6.8,15.9,2.3,1.4,1,5.8,343
22106,2016-01-05 22:00,8.6,298,11.2,1023.8,40,6.4,15.8,2.4,1.5,1,6.4,336
22106,2016-01-05 23:00,11.8,296,12.5,1024,43,5.7,15.8,2.7,1.5,1,4.6,245
22106,2016-01-06 00:00,8.5,299,10.2,1023.6,44,5.6,15.7,2.2,1.4,1,4.3,257
22106,2016-01-06 01:00,6.4,294,8.6,1023.9,38,5.4,15.7,2.1,1.3,.9,8,356
22106,2016-01-06 02:00,9.9,287,10.2,1023.3,48,5.2,15.6,2.3,1.5,1.1,8,357
22106,2016-01-06 03:00,10.2,286,11.3,1023.1,51,5.1,15.6,2.3,1.7,1.2,8,349
22106,2016-01-06 04:00,11.8,288,12.9,1022.9,51,4.4,15.7,2.8,1.6,1.1,4.6,250
22106,2016-01-06 05:00,12,289,13.6,1022.2,58,4.6,15.7,2.4,1.7,1.2,6.4,348
22106,2016-01-06 06:00,11.6,293,13.7,1022,57,4.1,15.7,2.8,1.7,1.2,7.1,349
22106,2016-01-06 07:00,11.3,282,13.4,1022.1,55,3.7,15.7,3,1.8,1.3,8,356
22106,2016-01-06 08:00,11.3,277,17.4,1022.1,52,3.4,15.7,2.8,1.8,1.3,4.9,253
22106,2016-01-06 09:00,14.1,285,14.4,1022.1,64,4.3,15.7,3.3,2,1.4,4.9,235
22106,2016-01-06 10:00,15.9,287,16.4,1022.3,65,4.3,15.7,3.6,2.2,1.6,4.9,220
22106,2016-01-06 11:00,16,292,16.7,1022,64,4.2,15.6,2.8,1.8,1.3,5.3,249
22106,2016-01-06 12:00,14,289,15.7,1021.7,60,4.7,15.6,3.1,1.9,1.3,5.3,246
22106,2016-01-06 13:00,14.4,295,14.9,1020.4,58,5.6,15.5,3,1.9,1.3,5.3,236
22106,2016-01-06 14:00,10.1,293,13.8,1020.1,54,5.9,15.4,2.5,1.6,1.2,5.3,255
22106,2016-01-06 15:00,12,294,13.3,1019.3,57,6.5,15.3,2.4,1.6,1.1,4.9,235
22106,2016-01-06 16:00,10.5,293,13.8,1018.7,54,7,15.3,2.7,1.6,1.1,4.6,211
22106,2016-01-06 17:00,10.6,286,11.5,1019.3,50,6.9,15.3,1.9,1.3,.9,4.9,256
22106,2016-01-06 18:00,10.5,292,12.6,1019.3,47,7.2,15.3,2.2,1.4,1,4.6,248
22106,2016-01-06 19:00,13.1,288,13.7,1018.8,52,7.4,15.3,2.2,1.5,1,4.6,225
22106,2016-01-06 20:00,8.9,295,12.8,1019.3,55,6.3,15.2,2.3,1.4,1,4.6,233
22106,2016-01-06 21:00,9.6,293,11.5,1019.5,56,6.3,15.2,2.1,1.4,1,4.3,226
22106,2016-01-06 22:00,11.9,302,12.6,1019.4,58,6.1,15.1,2.3,1.3,1,4.6,247
22106,2016-01-06 23:00,12,295,13.3,1019.7,58,5.5,15.4,2.5,1.5,1.1,4.6,232
22106,2016-01-07 00:00,13,296,15.2,1020,66,5.4,15.5,3.7,1.8,1.3,4.9,221
22106,2016-01-07 01:00,11.7,301,14.9,1019.4,65,5.4,15.6,2.9,1.8,1.3,5.3,222
22106,2016-01-07 02:00,9.8,299,15.5,,66,5.8,15.8,2.7,1.7,1.2,4.9,211
22106,2016-01-07 03:00,10.8,299,13.9,1020.2,64,4.7,15.9,2.3,1.6,1.2,4.9,204
22106,2016-01-07 04:00,10.1,295,15.3,1019.8,64,5.1,16,2.5,1.4,1,4.9,202
22106,2016-01-07 05:00,10.6,293,11.7,1020.1,61,4.2,15.9,2.9,1.6,1.1,4.9,213
22106,2016-01-07 06:00,10,305,13.2,1020.5,56,4.2,15.6,2.1,1.4,1,4.3,224
22106,2016-01-07 07:00,8.9,295,13.4,1020.8,58,4,15.6,2.1,1.3,.9,4.9,283
22106,2016-01-07 08:00,9.9,300,12.7,1020.8,54,3.4,15.4,1.7,1.3,.9,4.9,275
22106,2016-01-07 09:00,10.9,293,14.1,1021.3,52,3,15.3,2.1,1.3,.9,3.8,225
22106,2016-01-07 10:00,11.7,286,13.9,1021.7,60,2.6,15.4,2,1.3,.9,4.3,223
22106,2016-01-07 11:00,9.7,297,14.3,1022,61,3,15.4,2.3,1.4,1,4.6,248
22106,2016-01-07 12:00,7.4,297,12.5,1022,55,3.6,15.5,2,1.3,.9,4.3,232
22106,2016-01-07 13:00,8.9,302,10.9,1020.8,48,4.3,15.5,1.9,1.2,.9,4,178
22106,2016-01-07 14:00,7.9,308,9.7,1020,41,5,15.6,1.9,1.2,.8,4.3,218
22106,2016-01-07 15:00,10.2,319,10.8,1019.4,40,5.5,15.6,2,1.3,.9,4,226
22106,2016-01-07 16:00,8.4,297,10,1019.3,34,5.9,15.5,1.7,1.2,.9,3.8,224
22106,2016-01-07 17:00,8.1,302,9.5,1019.5,42,6.1,15.6,1.6,1.1,.8,4,252
22106,2016-01-07 18:00,11.3,298,12.9,1019.6,36,6.1,15.6,1.6,1.1,.8,4,246
22106,2016-01-07 19:00,8.8,302,10.1,1020.4,35,5.8,15.6,1.6,1,.7,4,267
22106,2016-01-07 20:00,7.7,293,9.7,1020.4,37,5.2,15.6,1.6,.9,.6,4,282
22106,2016-01-07 21:00,5.3,287,8.5,1020.7,32,4.8,15.6,1.6,1.1,.8,5.8,346
22106,2016-01-07 22:00,3.3,303,5.7,1020.2,35,4.5,15.4,1.8,1,.7,8,342
22106,2016-01-07 23:00,8,285,9.3,1020.3,43,4.5,15.1,2.1,1.3,.9,8,347
22106,2016-01-08 00:00,12.1,290,12.7,1020.1,40,4.3,15.6,2.2,1.5,1,8,341
22106,2016-01-08 01:00,6.9,287,8.9,1019.7,38,3.7,15.8,2.5,1.6,1.2,8,345
22106,2016-01-08 02:00,8.6,284,12.9,1019.1,37,3.1,16,2.5,1.4,1,8,346
22106,2016-01-08 03:00,12.3,289,13.5,1018.8,47,2.9,16.3,3,1.4,1,8,332
22106,2016-01-08 04:00,12.9,281,15,1018.6,58,2.2,16.3,2.8,1.7,1.2,8,344
22106,2016-01-08 05:00,12.2,283,13.1,1018,66,2.1,16.2,2.7,1.5,1.1,7.1,341
22106,2016-01-08 06:00,10,289,14.1,1018,62,2,16.2,2.9,1.6,1.1,4.3,232
22106,2016-01-08 07:00,12.2,293,13.2,1017.8,54,2,15.9,3,1.9,1.4,4.6,246
22106,2016-01-08 08:00,12.9,295,13.5,1018.5,64,2.3,15.8,2.4,1.8,1.3,4.6,268
22106,2016-01-08 09:00,14.1,307,15,1019.1,60,2.1,16,2.5,1.6,1.1,4.3,269
22106,2016-01-08 10:00,13.4,305,14.1,1019.6,65,2.6,16.1,2.5,1.6,1.2,4.9,310
22106,2016-01-08 11:00,13,311,14.1,1019.7,57,3.1,15.6,2.9,1.5,1.1,5.3,318
22106,2016-01-08 12:00,9.5,303,12.1,1019.4,49,3.3,15.2,3.3,1.8,1.3,4.9,296
22106,2016-01-08 13:00,9.9,301,10.6,1018.8,46,3.4,13.8,2.5,1.6,1.1,4.9,297
22106,2016-01-08 14:00,5.5,290,7.9,1018.4,45,4,14,2,1.4,1,4.9,325
22106,2016-01-08 15:00,7.6,290,9.3,1018,41,4.3,15,2.2,1.3,.9,7.1,1
22106,2016-01-08 16:00,7.5,297,10,1017.9,43,5.2,15.7,2.2,1.3,.9,7.1,357
22106,2016-01-08 17:00,9.6,296,10.9,1018.5,46,5.9,15.6,2,1.4,1,7.1,352
22106,2016-01-08 18:00,10.4,295,10.7,1019,39,5.5,15.8,2.4,1.4,1,6.4,351
22106,2016-01-08 19:00,10.4,289,11.9,1019.3,47,5.4,15.6,2.5,1.4,1,6.4,355
22106,2016-01-08 20:00,10.3,283,10.9,1020.3,46,4.8,15.4,2.1,1.5,1.1,6.4,359
22106,2016-01-08 21:00,10.5,288,13.5,1020,44,4.1,14.7,2.2,1.5,1.1,6.4,347
22106,2016-01-08 22:00,8.2,296,11.1,1020.7,44,4,14.3,2.2,1.5,1,6.4,350
22106,2016-01-08 23:00,9.1,295,10.7,1021,43,3.5,13.9,2.2,1.4,1,5.8,322
22106,2016-01-09 00:00,8.8,299,12.7,1021.2,47,3.7,13.9,2.2,1.4,1,5.8,331
22106,2016-01-09 01:00,10.9,296,13,1021.5,50,3.5,13.6,2.2,1.4,1,6.4,341
22106,2016-01-09 02:00,12.3,295,12.8,1021.5,51,3.3,13.6,2.4,1.4,1,4.3,252
22106,2016-01-09 03:00,9.3,301,12.9,1021.7,57,3.2,13.6,2,1.4,1,4,221
22106,2016-01-09 04:00,8.9,294,12.6,1022,55,2.8,13.6,2.6,1.6,1.2,4.3,219
22106,2016-01-09 05:00,11.2,305,14.5,1021.4,59,3.4,13.8,2.6,1.7,1.2,8,323
22106,2016-01-09 06:00,8,289,9.5,1021.8,59,3.2,14.1,3.2,1.5,1.1,7.1,341
22106,2016-01-09 07:00,8.9,296,12.8,1022.2,56,3.2,14.1,2.5,1.6,1.1,7.1,337
22106,2016-01-09 08:00,9.7,299,11.4,1022.6,59,3,14.1,2.3,1.8,1.2,8,350
22106,2016-01-09 09:00,9.6,294,12.3,1022.8,61,3.4,15,2.5,1.6,1.2,6.4,348
22106,2016-01-09 10:00,8.9,296,12.1,1023.2,58,3.2,14.8,2.4,1.5,1.1,8,1
22106,2016-01-09 11:00,15.7,291,17.1,1023,58,3.4,14.9,2.4,1.7,1.2,7.1,342
22106,2016-01-09 12:00,9.9,295,14,1022.9,54,3.7,14.6,2.7,1.8,1.3,6.4,345
22106,2016-01-09 13:00,9.6,282,10.2,1022.2,57,4.3,14.4,2.5,1.6,1.2,7.1,330
22106,2016-01-09 14:00,9.1,294,9.8,1021.8,47,4.6,14.2,2.3,1.5,1.1,7.1,330
22106,2016-01-09 15:00,10.1,287,13.1,1021.4,44,5.3,13.5,2,1.4,1,7.1,331
22106,2016-01-09 16:00,11.2,290,12.2,1021.2,43,5.8,13.3,2.1,1.3,.9,6.4,308
22106,2016-01-09 17:00,6.2,290,7.4,1021.5,41,6.3,13.1,1.6,1,.7,7.1,334
22106,2016-01-09 18:00,7.6,280,8.7,1022,44,6.6,13.2,1.8,1,.7,6.4,331
22106,2016-01-09 19:00,8.5,286,9.8,1022.1,42,6.3,13.6,1.5,1,.7,7.1,9
22106,2016-01-09 20:00,8.4,291,9.3,1022.3,44,6,14.5,2,1,.7,7.1,348
22106,2016-01-09 21:00,8.3,276,11.1,1022.5,50,5.9,15,1.4,.9,.7,6.4,348
22106,2016-01-09 22:00,7.6,275,8.9,1023,49,5.9,15,1.4,1,.7,6.4,347
22106,2016-01-09 23:00,8.6,270,10.4,1023.3,49,5.5,14.9,1.1,.7,.5,6.4,359
22106,2016-01-10 00:00,6.9,282,7.5,1023.3,54,5.3,14.9,1.2,.7,.5,5.8,347
22106,2016-01-10 01:00,6.7,298,8.1,1023.5,51,4.5,14.8,1.7,.9,.7,3.6,243
22106,2016-01-10 02:00,9.2,303,10.7,1023.5,54,4.3,14.8,1.4,.9,.6,3.6,244
22106,2016-01-10 03:00,7.9,314,9.1,1023.6,54,4.5,14.6,1.2,.8,.6,3.6,253
22106,2016-01-10 04:00,7.7,308,10.7,1023.2,54,4.4,14.4,1.4,.8,.6,3.6,238
22106,2016-01-10 05:00,8.1,300,8.9,,52,4.2,14.3,1.4,.8,.6,3.4,255
22106,2016-01-10 06:00,7.3,297,7.8,1023.3,50,4.2,14.8,1.4,.9,.6,6.4,347
22106,2016-01-10 07:00,6.8,300,8.1,1023.5,54,4.2,15,1.9,1.2,.8,5.8,348
22106,2016-01-10 08:00,3.8,311,5.9,1024.1,51,4.1,15.3,1.7,1.3,.9,6.4,355
22106,2016-01-10 09:00,7,286,7.2,1024.7,51,4.3,15.5,2.1,1.4,1,7.1,351
22106,2016-01-10 10:00,5,275,6.9,1025.4,55,4.8,15.7,1.9,1.2,.8,7.1,346
22106,2016-01-10 11:00,5.3,281,5.9,1025.5,54,4.6,15.9,1.7,1.1,.8,7.1,351
22106,2016-01-10 12:00,4.6,282,5.7,1025.1,54,4.8,15.9,1.8,1.1,.8,6.4,353
22106,2016-01-10 13:00,3.9,290,5.2,1024.2,53,5,15.9,1.8,1.2,.8,7.1,350
22106,2016-01-10 14:00,5.7,290,6.7,1023.3,51,6,15.8,1.7,1,.7,7.1,341
22106,2016-01-10 15:00,8,282,9.6,1022.6,52,6.8,15.9,1.5,1.1,.7,5.8,347
22106,2016-01-10 16:00,7.8,284,8.3,1022.9,49,6.9,16,1.7,1.2,.9,7.1,350
22106,2016-01-10 17:00,8.9,288,9.9,1022.9,43,7.7,16.1,1.7,1,.7,6.4,344
22106,2016-01-10 18:00,5.2,280,8.1,1023.5,41,7.3,16.1,1.6,1.1,.8,7.1,355
22106,2016-01-10 19:00,9.3,283,11.3,1023.9,52,7.6,16.1,1.7,1.1,.8,7.1,350
22106,2016-01-10 20:00,8.1,279,11,1024.3,48,6.9,16.1,1.6,1.2,.8,7.1,347
22106,2016-01-10 21:00,8.8,288,10.6,1024.3,51,6.8,16.1,2,1.1,.8,7.1,354
22106,2016-01-10 22:00,11.6,291,12.6,1024.1,50,6.4,16.1,1.8,1.1,.8,6.4,350
22106,2016-01-10 23:00,9.2,279,10.7,1024.2,56,6.1,16.1,1.8,1.1,.8,3.6,243
22106,2016-01-11 00:00,10.1,284,10.3,1024.1,52,6,16.1,1.9,1.2,.8,6.4,349
22106,2016-01-11 01:00,11,286,11.7,1024.1,50,5.3,16.2,1.9,1.2,.9,6.4,351
22106,2016-01-11 02:00,9.3,287,10.8,1023.8,45,5.6,15.9,2,1.3,.9,6.4,342
22106,2016-01-11 03:00,9.3,299,12.2,1023.4,43,5.1,15.9,1.8,1.3,.9,5.8,337
22106,2016-01-11 04:00,9.7,304,12.2,1023.6,48,5.4,15.7,2.3,1.3,.9,4.3,241
22106,2016-01-11 05:00,11,312,12.3,1022.9,49,5,15.7,2.2,1.4,1,4,234
22106,2016-01-11 06:00,10.1,305,12.3,1022.5,46,4.7,15.7,2.2,1.4,1,4.6,285
22106,2016-01-11 07:00,11.1,304,11.5,1022.9,49,4.9,15.9,2.1,1.4,1,9.1,4
22106,2016-01-11 08:00,9.8,313,10.7,1023.2,53,4.9,16,2.4,1.4,1,4.3,254
22106,2016-01-11 09:00,8.5,306,11.8,1023.4,46,4.5,16,2.2,1.6,1.1,8,351
22106,2016-01-11 10:00,8.9,314,11,1023.8,47,4.5,15.9,2.7,1.6,1.2,8,4
22106,2016-01-11 11:00,6.9,315,8.2,1024.1,48,5.2,16,2.8,1.8,1.3,8,348
22106,2016-01-11 12:00,8.3,318,8.9,1023.7,41,4.9,16,2.4,1.6,1.1,8,353
22106,2016-01-11 13:00,8.6,317,9,1022.8,41,5,15.9,2.5,1.5,1.1,8,2
22106,2016-01-11 14:00,5,321,5.1,1022.5,35,4.9,15.9,1.9,1.3,.9,8,350
22106,2016-01-11 15:00,4.8,4,7.5,1022.1,41,5.7,15.8,1.8,1.1,.8,8,345
