지점,일시,풍속(m/s),풍향(deg),GUST풍속(m/s),현지기압(hPa),습도(%),기온(°C),수온(°C),최대파고(m),유의파고(m),평균파고(m),파주기(sec),파향(deg)
22106,2015-01-05 10:00,,,,,,,,,,,,
22106,2015-01-05 12:00,3.7,222,4.2,1019.9,66,9.4,12.8,.8,.5,.3,4.9,193
22106,2015-01-05 13:00,6.7,204,7.3,1018.4,65,9.6,12.8,.8,.5,.3,4.9,355
22106,2015-01-05 14:00,5.9,203,6.9,1017.5,59,10,12.9,.8,.5,.3,4.9,358
22106,2015-01-05 15:00,7.1,198,8.8,1016.5,60,10.3,12.9,.8,.6,.4,2.1,177
22106,2015-01-05 16:00,7.3,200,8.2,1016,62,10.9,12.9,1,.6,.4,2.4,179
22106,2015-01-05 17:00,6.8,192,9.9,1015.2,61,11.4,12.9,1.2,.6,.4,2.7,173
22106,2015-01-05 18:00,10.8,208,11,1015,66,11.9,12.9,1.3,.8,.6,3.2,187
22106,2015-01-05 19:00,9.7,218,11,1014.8,68,12.2,12.9,1.4,.9,.6,3.4,174
22106,2015-01-05 20:00,9.5,228,11.5,1013.4,63,12.2,12.9,1.5,.9,.6,3.4,157
22106,2015-01-05 21:00,5.9,239,8,1013.1,63,12,13.4,1.1,.8,.5,4,135
22106,2015-01-05 22:00,6.9,220,7.6,1011.9,67,11.9,13.7,1,.6,.4,3.6,146
22106,2015-01-05 23:00,6.9,241,7.4,1011.1,67,12,13.8,1.3,.7,.5,4.6,122
22106,2015-01-06 00:00,5.4,237,5.6,1010.1,68,11.8,13.9,1.1,.7,.5,4,143
22106,2015-01-06 01:00,5.4,256,6.4,1008.9,67,11.8,13.9,.9,.6,.4,4,135
22106,2015-01-06 02:00,4.1,243,5.8,1007.6,79,11.2,13.3,1,.6,.4,4.3,135
22106,2015-01-06 03:00,4.1,284,4.7,1006.1,86,10.8,13.5,1.2,.7,.5,4.6,140
22106,2015-01-06 04:00,6.7,315,6.9,1004.8,87,9.4,13.9,1.1,.8,.5,4.9,106
22106,2015-01-06 05:00,9.3,305,10.7,1004.3,81,10.4,13.9,1.4,.8,.6,4.9,100
22106,2015-01-06 06:00,11.9,313,13,1003.7,77,10.3,13.6,1.9,1.2,.8,5.3,86
22106,2015-01-06 07:00,11,301,11.2,1004.5,75,9.6,13.4,2.3,1.4,1,4.6,231
